,artist,relative
0,Grateful Dead,Jerry Garcia
1,Grateful Dead,Widespread Panic
2,Grateful Dead,The String Cheese Incident
3,Grateful Dead,moe.
4,Grateful Dead,Phish
5,Grateful Dead,Trey Anastasio
6,Grateful Dead,Keller Williams
7,Grateful Dead,Bob Weir
8,Grateful Dead,Jerry Garcia Band
9,Grateful Dead,Umphrey's McGee
10,Grateful Dead,Leftover Salmon
11,Grateful Dead,Twiddle
12,Grateful Dead,Yonder Mountain String Band
13,Grateful Dead,Railroad Earth
14,Grateful Dead,Lotus 
15,Grateful Dead,Old & In The Way
16,Grateful Dead,Perpetual Groove
17,Grateful Dead,Little Feat
18,Grateful Dead,Merl Saunders
19,Grateful Dead,New Riders of the Purple Sage
20,Jerry Garcia,Bob Weir
21,Jerry Garcia,Old & In The Way
22,Jerry Garcia,Jerry Garcia Band
23,Jerry Garcia,Widespread Panic
24,Jerry Garcia,Trey Anastasio
25,Jerry Garcia,moe.
26,Jerry Garcia,Grateful Dead
27,Jerry Garcia,The String Cheese Incident
28,Jerry Garcia,Leftover Salmon
29,Jerry Garcia,New Riders of the Purple Sage
30,Jerry Garcia,Keller Williams
31,Jerry Garcia,Merl Saunders
32,Jerry Garcia,Tea Leaf Green
33,Jerry Garcia,Phil Lesh & Friends
34,Jerry Garcia,Phish
35,Jerry Garcia,Yonder Mountain String Band
36,Jerry Garcia,Ekoostik Hookah
37,Jerry Garcia,Hot Tuna
38,Jerry Garcia,Railroad Earth
39,Jerry Garcia,Keller & The Keels
40,Widespread Panic,moe.
41,Widespread Panic,The String Cheese Incident
42,Widespread Panic,Keller Williams
43,Widespread Panic,Tea Leaf Green
44,Widespread Panic,Trey Anastasio
45,Widespread Panic,Ekoostik Hookah
46,Widespread Panic,Leftover Salmon
47,Widespread Panic,Phish
48,Widespread Panic,Umphrey's McGee
49,Widespread Panic,Jerry Garcia
50,Widespread Panic,Railroad Earth
51,Widespread Panic,The Disco Biscuits
52,Widespread Panic,Strangefolk
53,Widespread Panic,The Big Wu
54,Widespread Panic,Twiddle
55,Widespread Panic,Keller & The Keels
56,Widespread Panic,Phil Lesh & Friends
57,Widespread Panic,Assembly of Dust
58,Widespread Panic,Yonder Mountain String Band
59,Widespread Panic,Lotus 
60,The String Cheese Incident,moe.
61,The String Cheese Incident,Keller Williams
62,The String Cheese Incident,Tea Leaf Green
63,The String Cheese Incident,Umphrey's McGee
64,The String Cheese Incident,The Disco Biscuits
65,The String Cheese Incident,Widespread Panic
66,The String Cheese Incident,Trey Anastasio
67,The String Cheese Incident,Ekoostik Hookah
68,The String Cheese Incident,Leftover Salmon
69,The String Cheese Incident,Phish
70,The String Cheese Incident,Strangefolk
71,The String Cheese Incident,Twiddle
72,The String Cheese Incident,The Big Wu
73,The String Cheese Incident,Keller & The Keels
74,The String Cheese Incident,Perpetual Groove
75,The String Cheese Incident,Yonder Mountain String Band
76,The String Cheese Incident,Lotus 
77,The String Cheese Incident,Railroad Earth
78,The String Cheese Incident,Phil Lesh & Friends
79,The String Cheese Incident,Assembly of Dust
80,moe.,Keller Williams
81,moe.,The String Cheese Incident
82,moe.,Widespread Panic
83,moe.,Tea Leaf Green
84,moe.,Ekoostik Hookah
85,moe.,Trey Anastasio
86,moe.,Umphrey's McGee
87,moe.,The Disco Biscuits
88,moe.,Leftover Salmon
89,moe.,Phish
90,moe.,Strangefolk
91,moe.,Twiddle
92,moe.,The Big Wu
93,moe.,Assembly of Dust
94,moe.,Perpetual Groove
95,moe.,Keller & The Keels
96,moe.,Railroad Earth
97,moe.,Phil Lesh & Friends
98,moe.,Lotus 
99,moe.,Yonder Mountain String Band
100,Phish,moe.
101,Phish,The String Cheese Incident
102,Phish,Trey Anastasio
103,Phish,Widespread Panic
104,Phish,Keller Williams
105,Phish,Umphrey's McGee
106,Phish,Tea Leaf Green
107,Phish,The Disco Biscuits
108,Phish,Leftover Salmon
109,Phish,Twiddle
110,Phish,Jerry Garcia
111,Phish,Ekoostik Hookah
112,Phish,Perpetual Groove
113,Phish,Jerry Garcia Band
114,Phish,Yonder Mountain String Band
115,Phish,Lotus 
116,Phish,Railroad Earth
117,Phish,Mike Gordon
118,Phish,Grateful Dead
119,Phish,Spafford
120,Trey Anastasio,moe.
121,Trey Anastasio,The String Cheese Incident
122,Trey Anastasio,Widespread Panic
123,Trey Anastasio,Keller Williams
124,Trey Anastasio,Tea Leaf Green
125,Trey Anastasio,Phish
126,Trey Anastasio,Umphrey's McGee
127,Trey Anastasio,Mike Gordon
128,Trey Anastasio,Ekoostik Hookah
129,Trey Anastasio,The Disco Biscuits
130,Trey Anastasio,Leftover Salmon
131,Trey Anastasio,Vida Blue
132,Trey Anastasio,Jerry Garcia
133,Trey Anastasio,Strangefolk
134,Trey Anastasio,Assembly of Dust
135,Trey Anastasio,Twiddle
136,Trey Anastasio,Perpetual Groove
137,Trey Anastasio,The Big Wu
138,Trey Anastasio,Keller & The Keels
139,Trey Anastasio,Phil Lesh & Friends
140,Keller Williams,moe.
141,Keller Williams,The String Cheese Incident
142,Keller Williams,Tea Leaf Green
143,Keller Williams,Umphrey's McGee
144,Keller Williams,Widespread Panic
145,Keller Williams,Leftover Salmon
146,Keller Williams,Ekoostik Hookah
147,Keller Williams,Trey Anastasio
148,Keller Williams,The Disco Biscuits
149,Keller Williams,Twiddle
150,Keller Williams,Keller & The Keels
151,Keller Williams,The Big Wu
152,Keller Williams,Lotus 
153,Keller Williams,Phish
154,Keller Williams,Perpetual Groove
155,Keller Williams,Yonder Mountain String Band
156,Keller Williams,Railroad Earth
157,Keller Williams,Strangefolk
158,Keller Williams,Assembly of Dust
159,Keller Williams,Spafford
160,Bob Weir,Jerry Garcia
161,Bob Weir,Phil Lesh & Friends
162,Bob Weir,Hot Tuna
163,Bob Weir,New Riders of the Purple Sage
164,Bob Weir,Merl Saunders
165,Bob Weir,Widespread Panic
166,Bob Weir,Leftover Salmon
167,Bob Weir,Old & In The Way
168,Bob Weir,moe.
169,Bob Weir,Ekoostik Hookah
170,Bob Weir,Trey Anastasio
171,Bob Weir,Little Feat
172,Bob Weir,Grateful Dead
173,Bob Weir,Tea Leaf Green
174,Bob Weir,The String Cheese Incident
175,Bob Weir,Jerry Garcia Band
176,Bob Weir,Warren Haynes
177,Bob Weir,Keller Williams
178,Bob Weir,Mickey Hart
179,Bob Weir,Phish
180,Jerry Garcia Band,Jerry Garcia
181,Jerry Garcia Band,Old & In The Way
182,Jerry Garcia Band,Keller Williams
183,Jerry Garcia Band,Twiddle
184,Jerry Garcia Band,Trey Anastasio
185,Jerry Garcia Band,moe.
186,Jerry Garcia Band,Phil Lesh & Friends
187,Jerry Garcia Band,Circles Around The Sun
188,Jerry Garcia Band,Bob Weir
189,Jerry Garcia Band,Widespread Panic
190,Jerry Garcia Band,The String Cheese Incident
191,Jerry Garcia Band,Leftover Salmon
192,Jerry Garcia Band,Perpetual Groove
193,Jerry Garcia Band,Phish
194,Jerry Garcia Band,Umphrey's McGee
195,Jerry Garcia Band,Merl Saunders
196,Jerry Garcia Band,Spafford
197,Jerry Garcia Band,Yonder Mountain String Band
198,Jerry Garcia Band,New Riders of the Purple Sage
199,Jerry Garcia Band,Grateful Dead
200,Umphrey's McGee,The String Cheese Incident
201,Umphrey's McGee,moe.
202,Umphrey's McGee,Lotus 
203,Umphrey's McGee,Keller Williams
204,Umphrey's McGee,The Disco Biscuits
205,Umphrey's McGee,Perpetual Groove
206,Umphrey's McGee,Tea Leaf Green
207,Umphrey's McGee,Trey Anastasio
208,Umphrey's McGee,Twiddle
209,Umphrey's McGee,Widespread Panic
210,Umphrey's McGee,Phish
211,Umphrey's McGee,Ekoostik Hookah
212,Umphrey's McGee,Leftover Salmon
213,Umphrey's McGee,STS9
214,Umphrey's McGee,Strangefolk
215,Umphrey's McGee,Yonder Mountain String Band
216,Umphrey's McGee,Papadosio
217,Umphrey's McGee,Keller & The Keels
218,Umphrey's McGee,Mike Gordon
219,Umphrey's McGee,Railroad Earth
220,Leftover Salmon,Keller Williams
221,Leftover Salmon,Yonder Mountain String Band
222,Leftover Salmon,Railroad Earth
223,Leftover Salmon,The String Cheese Incident
224,Leftover Salmon,moe.
225,Leftover Salmon,Tea Leaf Green
226,Leftover Salmon,Ekoostik Hookah
227,Leftover Salmon,Widespread Panic
228,Leftover Salmon,Keller & The Keels
229,Leftover Salmon,The Big Wu
230,Leftover Salmon,Strangefolk
231,Leftover Salmon,Assembly of Dust
232,Leftover Salmon,Trey Anastasio
233,Leftover Salmon,Old & In The Way
234,Leftover Salmon,Umphrey's McGee
235,Leftover Salmon,Jerry Garcia
236,Leftover Salmon,Phil Lesh & Friends
237,Leftover Salmon,Donna The Buffalo
238,Leftover Salmon,Twiddle
239,Leftover Salmon,The Disco Biscuits
240,Twiddle,Perpetual Groove
241,Twiddle,Lotus 
242,Twiddle,STS9
243,Twiddle,moe.
244,Twiddle,Umphrey's McGee
245,Twiddle,Keller Williams
246,Twiddle,Spafford
247,Twiddle,The String Cheese Incident
248,Twiddle,The Disco Biscuits
249,Twiddle,Pigeons Playing Ping Pong
250,Twiddle,Trey Anastasio
251,Twiddle,Dopapod
252,Twiddle,Papadosio
253,Twiddle,The Motet
254,Twiddle,Jerry Garcia Band
255,Twiddle,Widespread Panic
256,Twiddle,Railroad Earth
257,Twiddle,Yonder Mountain String Band
258,Twiddle,Leftover Salmon
259,Twiddle,Phish
260,Yonder Mountain String Band,Leftover Salmon
261,Yonder Mountain String Band,Railroad Earth
262,Yonder Mountain String Band,Old & In The Way
263,Yonder Mountain String Band,Keller Williams
264,Yonder Mountain String Band,The String Cheese Incident
265,Yonder Mountain String Band,Keller & The Keels
266,Yonder Mountain String Band,moe.
267,Yonder Mountain String Band,The Infamous Stringdusters
268,Yonder Mountain String Band,Sam Bush
269,Yonder Mountain String Band,Greensky Bluegrass
270,Yonder Mountain String Band,Tea Leaf Green
271,Yonder Mountain String Band,Ekoostik Hookah
272,Yonder Mountain String Band,Trey Anastasio
273,Yonder Mountain String Band,Widespread Panic
274,Yonder Mountain String Band,Perpetual Groove
275,Yonder Mountain String Band,The Big Wu
276,Yonder Mountain String Band,Umphrey's McGee
277,Yonder Mountain String Band,Strangefolk
278,Yonder Mountain String Band,Twiddle
279,Yonder Mountain String Band,Hot Buttered Rum
280,Railroad Earth,Leftover Salmon
281,Railroad Earth,Yonder Mountain String Band
282,Railroad Earth,Keller & The Keels
283,Railroad Earth,Greensky Bluegrass
284,Railroad Earth,Keller Williams
285,Railroad Earth,The String Cheese Incident
